,Neighborhood,Region,Latitude,Longitude
0,Cantonment area,Central,8.46810875,-13.2505252481029
1,Domlur,Central,12.9624669,77.6381958
2,Indiranagar,Central,17.7569637,77.1889052
3,Jeevanbheemanagar,Central,12.968926,77.652705
4,Malleswaram,Central,16.355021,81.2679183
5,Pete area,Central,48.4564809,-124.1003786
6,Sadashivanagar,Central,13.0077079,77.5795893
7,Seshadripuram,Central,16.7044988,80.5466724
8,Shivajinagar,Central,14.4776061,78.7313607
9,Ulsoor,Central,12.9778793,77.6246697
10,Vasanth Nagar,Central,12.98872125,77.5851687760182
11,Bellandur,Eastern,12.9361208,77.6666171141339
12,CV Raman Nagar,Eastern,19.0600218,72.9237299601783
13,Hoodi,Eastern,12.9919033,77.7162015
14,Krishnarajapuram,Eastern,12.9186282,78.4463677
15,Mahadevapura,Eastern,14.4667215,76.5745227
16,Marathahalli,Eastern,12.9552572,77.6984163
17,Varthur,Eastern,12.9406152,77.7469937
18,Whitefield,Eastern,53.5533682,-2.2969019
19,Banaswadi,North Eastern,13.0141618,77.6518539
20,HBR Layout,North Eastern,13.0358698,77.6323597
21,Horamavu,North Eastern,13.0273312,77.6601508
22,Kalyan Nagar,North Eastern,13.0221416,77.6403368
23,Kammanahalli,North Eastern,13.00796435,77.6366701521896
24,Lingarajapuram,North Eastern,18.4226489,83.3970429
25,Ramamurthy Nagar,North Eastern,13.0120218,77.6777817
26,Hebbal,Northern,13.0382184,77.5919
27,Jalahalli,Northern,13.0464531,77.5483803
28,Mathikere,Northern,13.0328884,77.557374
29,Peenya,Northern,13.0329419,77.5273253
30,R. T. Nagar,Northern,13.0294483,80.2309064
31,Vidyaranyapura,Northern,13.0766407,77.5577315
32,Yelahanka,Northern,13.1006982,77.5963454
33,Yeshwanthpur,Northern,13.0159579,77.5451161845771
34,Bommanahalli,South Eastern,16.621365,76.9146835
35,Bommasandra,South Eastern,13.5538448,77.4983132
36,BTM Layout,South Eastern,12.9151772,77.6102821
37,Electronic City,South Eastern,16.8364339,96.1764103
38,HSR Layout,South Eastern,12.9116225,77.6388622
39,Koramangala,South Eastern,13.2923988,77.7519261
40,Madiwala,South Eastern,12.9212269,77.6179508
41,Banashankari,Southern,15.8876779,75.7046777
42,Basavanagudi,Southern,13.8345913,75.7339359
43,Girinagar,Southern,12.9401439,77.5444995
44,J. P. Nagar,Southern,12.9094922,77.5967385573177
45,Jayanagar,Southern,27.64392675,83.0528051968728
46,Kumaraswamy Layout,Southern,12.9068169,77.5635247362134
47,Padmanabhanagar,Southern,12.9181602,77.5576735553506
48,Uttarahalli,Southern,12.9055682,77.5455438
49,Anjanapura,Southern suburbs,14.1595946,75.3883166
50,Arekere,Southern suburbs,12.8884342,75.7794848
51,Begur,Southern suburbs,41.9541918,3.2088349
52,Gottigere,Southern suburbs,13.1819882,77.2431441
53,Hulimavu,Southern suburbs,12.1597985,76.7332897
54,Kothnur,Southern suburbs,12.8742546,77.5837252
55,Basaveshwaranagar,Western,12.986475,77.5385709
56,Kamakshipalya,Western,12.9823617,77.5226376
57,Kengeri,Western,12.9199402,77.4833485
58,Mahalakshmi Layout,Western,13.0118943,77.5438575
59,Nagarbhavi,Western,12.9651008,77.5078635
60,Nandini Layout,Western,13.0104064,77.5378032
61,Nayandahalli,Western,12.9413253,77.5212118
62,Rajajinagar,Western,15.41545245,75.0440620556771
63,Rajarajeshwari Nagar,Western,12.9274278,77.5153722
64,Vijayanagar,Western,24.0060098,73.3587796
